,Actor,Nominations,Wins,Sum
256,Gig Young,2,1,4.0
257,Ginger Rogers,0,1,2.0
258,Gladys Cooper,3,0,3.0
259,Gladys George,1,0,1.0
260,Glenda Jackson,2,2,6.0
261,Glenn Close,3,0,3.0
262,Gloria Grahame,1,1,3.0
263,Gloria Stuart,1,0,1.0
264,Gloria Swanson,3,0,3.0
265,Glynis Johns,1,0,1.0
266,Goldie Hawn,0,1,2.0
267,Grace Kelly,1,1,3.0
268,Grace Moore,1,0,1.0
269,Graham Greene,1,0,1.0
270,Grayson Hall,1,0,1.0
271,Greer Garson,6,1,8.0
272,Greg Kinnear,1,0,1.0
273,Gregory Peck,4,1,6.0
274,Greta Garbo,3,0,3.0
275,H. B. Warner,1,0,1.0
276,Hailee Steinfeld,1,0,1.0
277,Haing S. Ngor,0,1,2.0
278,Hal Holbrook,1,0,1.0
279,Haley Joel Osment,1,0,1.0
280,Harold Russell,0,1,2.0
281,Harry Carey,1,0,1.0
282,Harvey Keitel,1,0,1.0
283,Hattie McDaniel,0,1,2.0
284,Heath Ledger,0,1,2.0
285,Helen Hayes,0,2,4.0
286,Helen Hunt,1,0,1.0
287,Helen Mirren,2,0,2.0
288,Helena Bonham Carter,1,0,1.0
289,Henry Fonda,1,0,1.0
290,Henry Travers,1,0,1.0
291,Hermione Baddeley,1,0,1.0
292,Holly Hunter,2,0,2.0
293,Hope Emerson,1,0,1.0
294,Hope Lange,1,0,1.0
295,"Howard E. Rollins, Jr.",1,0,1.0
296,Hugh Griffith,1,1,3.0
297,Hume Cronyn,1,0,1.0
298,Humphrey Bogart,2,1,4.0
299,Ian Bannen,1,0,1.0
300,Ian Holm,1,0,1.0
301,Ian McKellen,1,0,1.0
302,Ida Kaminska,1,0,1.0
303,Ingrid Bergman,3,3,9.0
304,Irene Dunne,5,0,5.0
305,Isabelle Adjani,1,0,1.0
306,J. Carrol Naish,2,0,2.0
307,J.K. Simmons,0,1,2.0
308,Jack Albertson,0,1,2.0
309,Jack Gilford,1,0,1.0
310,Jack Kruschen,1,0,1.0
311,Jack Lemmon,3,2,7.0
312,Jack Nicholson,6,2,10.0
313,Jack Oakie,1,0,1.0
314,Jack Palance,2,1,4.0
315,Jack Warden,2,0,2.0
316,Jack Wild,1,0,1.0
317,Jacki Weaver,2,0,2.0
318,Jackie Cooper,1,0,1.0
319,Jackie Earle Haley,1,0,1.0
320,Jackie Gleason,1,0,1.0
321,Jake Gyllenhaal,1,0,1.0
322,James Caan,1,0,1.0
323,James Cagney,2,1,4.0
324,James Coburn,0,1,2.0
